,Set_Name,Theme,Price,Pieces,Pages,Minifigures,Unique_Pieces
13,Stephanie's Summer Heart Box,Friends,7.99,95.0,40.0,1.0,52.0
16,Woody & RC,Disney,9.99,69.0,28.0,1.0,36.0
17,Mia's Summer Heart Box,Friends,7.99,85.0,36.0,1.0,41.0
18,Olivia's Summer Heart Box,Friends,7.99,93.0,40.0,2.0,48.0
19,Police Patrol Car,City,9.99,92.0,36.0,1.0,52.0
20,Prince Puppycorn Trike,Unikitty,9.99,101.0,56.0,3.0,65.0
21,Kai Avatar - Arcade Pod,NINJAGO,9.99,49.0,3.0,2.0,31.0
22,Jay Avatar - Arcade Pod,NINJAGO,9.99,47.0,3.0,2.0,28.0
24,Police Bike,DUPLO,9.99,8.0,10.0,1.0,7.0
25,Pizza Stand,DUPLO,9.99,18.0,12.0,1.0,15.0
26,Emma's Mobile Veterinary Clinic ,Friends,9.99,50.0,28.0,1.0,35.0
27,Barbecue Burn Out,City,9.99,64.0,28.0,2.0,45.0
28,Monster Truck,City,9.99,55.0,32.0,1.0,34.0
29,Jet Patrol,City,9.99,54.0,36.0,2.0,45.0
30,Construction Loader,City,9.99,88.0,36.0,1.0,50.0
31,Stunt Team,City,9.99,62.0,36.0,2.0,34.0
32,Cole's Speeder Car,NINJAGO,9.99,52.0,36.0,2.0,32.0
33,Ice Cream Cart,Friends,9.99,97.0,40.0,1.0,60.0
34,Puppy Playground,Friends,9.99,57.0,40.0,1.0,41.0
35,Police Dog Unit,City,9.99,67.0,40.0,2.0,48.0
36,Resistance Y-wing Microfighter,Star Wars,9.99,86.0,40.0,1.0,44.0
37,Street Sweeper,City,9.99,89.0,48.0,1.0,55.0
38,Mail Plane,City,9.99,74.0,52.0,1.0,55.0
39,Satellite Service Mission,City,9.99,84.0,56.0,1.0,52.0
40,Forest Fire,City,9.99,84.0,56.0,1.0,49.0
41,Jungle Raider,NINJAGO,9.99,127.0,60.0,1.0,61.0
42,Unikitty Cloud Car,Unikitty,9.99,126.0,60.0,3.0,83.0
44,Ocean Mini-Submarine,City,9.99,41.0,37.0,1.0,30.0
45,Olivia's Flower Garden,Friends,9.99,92.0,48.0,2.0,61.0
46,Aurora's Royal Carriage,Disney,9.99,62.0,28.0,1.0,35.0
47,Lloyd Avatar - Arcade Pod,NINJAGO,9.99,48.0,3.0,2.0,28.0
48,Moana's Ocean Adventure,Disney,9.99,46.0,36.0,1.0,39.0
49,The Taiga Adventure,Minecraft,9.99,74.0,40.0,2.0,48.0
50,Kylo Ren's Shuttle Microfighter,Star Wars,9.99,72.0,40.0,1.0,40.0
51,Thanos Mech,Marvel,9.99,152.0,56.0,1.0,62.0
52,Iron Man Mech,Marvel,9.99,148.0,64.0,1.0,61.0
53,Spider-Man Mech,Marvel,9.99,152.0,68.0,1.0,62.0
56,Batboat The Penguin Pursuit!,Batman,9.99,54.0,44.0,2.0,41.0
58,Mighty Micros: Scarlet Spider vs. Sandman,Marvel,9.99,89.0,7.0,2.0,49.0
61,Arctic Exploration Team,City,9.99,70.0,28.0,3.0,47.0
67,Unikitty's Sweetest Friends EVER!,THE LEGO MOVIE 2,9.99,76.0,36.0,3.0,50.0
68,Olivia's Heart Box,Friends,7.99,85.0,32.0,2.0,38.0
70,Chevrolet Camaro ZL1 Race Car,Speed Champions,14.99,198.0,60.0,1.0,81.0
71,McLaren Senna,Speed Champions,14.99,219.0,64.0,1.0,92.0
76,1974 Porsche 911 Turbo 3.0,Speed Champions,14.99,180.0,80.0,1.0,75.0
77,Sith Troopers Battle Pack,Star Wars,14.99,105.0,40.0,3.0,51.0
78,Mandalorian Battle Pack,Star Wars,14.99,102.0,44.0,4.0,59.0
80,Playroom,DUPLO,14.99,17.0,2.0,2.0,16.0
82,Death Star Cannon,Star Wars,19.99,159.0,80.0,2.0,79.0
86,Arctic Ice Glider,City,6.99,50.0,28.0,1.0,30.0
89,Spinjitzu Slam - Jay,NINJAGO,9.99,72.0,44.0,1.0,37.0
91,Emma's Summer Heart Box,Friends,7.99,86.0,36.0,1.0,45.0
93,Bedroom,DUPLO,14.99,16.0,2.0,2.0,16.0
95,Stephanie's Heart Box,Friends,7.99,85.0,32.0,1.0,36.0
96,Andrea's Summer Heart Box,Friends,7.99,83.0,36.0,1.0,46.0
97,Cole - Dragon Master,NINJAGO,14.99,92.0,48.0,1.0,54.0
98,The Samurai Mech,NINJAGO,14.99,154.0,48.0,3.0,71.0
99,Introducing Queen Watevra Wa'Nabi,THE LEGO MOVIE 2,19.99,115.0,48.0,4.0,82.0
100,Ferrari F40 Competizione,Speed Champions,14.99,198.0,56.0,1.0,72.0
102,Spinjitzu Slam - Lloyd,NINJAGO,9.99,70.0,44.0,1.0,34.0
103,Mia's Play Cube - Cinema,Friends,9.99,37.0,5.0,1.0,31.0
105,Monastery Training,NINJAGO,9.99,122.0,40.0,2.0,65.0
106,Systar Party Crew,THE LEGO MOVIE 2,19.99,196.0,80.0,2.0,104.0
107,Party Time,Unikitty,19.99,214.0,80.0,4.0,119.0
108,Mulan's Storybook Adventures,Disney,19.99,124.0,3.0,3.0,72.0
109,Toy Story Train,Disney,19.99,21.0,8.0,2.0,19.0
111,Carnival Thrill Coaster,Disney,19.99,98.0,44.0,2.0,56.0
112,Expecto Patronum,Harry Potter,19.99,121.0,48.0,3.0,55.0
113,Vulture's Trucker Robbery,Marvel,19.99,93.0,48.0,3.0,62.0
114,Captain America: Outriders Attack,Marvel,19.99,167.0,52.0,3.0,75.0
115,Cole's Dirt Bike,NINJAGO,19.99,212.0,56.0,3.0,97.0
116,The Rise of Voldemort,Harry Potter,19.99,184.0,56.0,6.0,102.0
117,Mia's Foal Stable ,Friends,19.99,118.0,64.0,1.0,66.0
118,Welcome to the Hidden Side,Hidden Side,19.99,189.0,68.0,4.0,103.0
119,The Chicken Coop,Minecraft,19.99,198.0,72.0,1.0,90.0
120,The End Battle,Minecraft,19.99,222.0,72.0,2.0,91.0
121,Construction Bulldozer,City,19.99,126.0,84.0,2.0,81.0
122,Avengers Speeder Bike Attack,Marvel,19.99,226.0,104.0,3.0,97.0
125,Snow Groomer,City,19.99,197.0,60.0,2.0,81.0
126,Anna's Canoe Expedition,LEGO Frozen 2,19.99,108.0,64.0,2.0,61.0
127,Diving Yacht,City,19.99,148.0,64.0,2.0,81.0
128,Emmet's Thricycle!,THE LEGO MOVIE 2,14.99,174.0,84.0,1.0,100.0
129,Garbage Truck,City,19.99,90.0,40.0,2.0,52.0
130,Anna and Elsa's Storybook Adventures,LEGO Frozen 2,19.99,133.0,3.0,4.0,71.0
131,Ariel's Storybook Adventures,Disney,19.99,105.0,3.0,3.0,61.0
132,Belle's Storybook Adventures,Disney,19.99,111.0,3.0,5.0,71.0
134,Mountain Fugitives,City,9.99,88.0,36.0,4.0,61.0
135,Jasmine's Petite Tower,Disney,9.99,49.0,24.0,1.0,35.0
136,Poppy's Pod,Trolls World Tour,19.99,103.0,68.0,1.0,70.0
137,Techno Reef Dance Party,Trolls World Tour,19.99,173.0,72.0,1.0,85.0
138,The Zombie Cave,Minecraft,19.99,241.0,84.0,3.0,88.0
139,Emma's Play Cube - Toy Store,Friends,9.99,49.0,5.0,1.0,42.0
141,Andrea's Heart Box,Friends,7.99,84.0,32.0,1.0,38.0
142,Speed Record Car,City,9.99,78.0,40.0,1.0,47.0
143,Jack's Beach Buggy,Hidden Side,19.99,170.0,56.0,3.0,98.0
144,The Wool Farm,Minecraft,19.99,260.0,80.0,1.0,81.0
145,Duel on Mustafar ,Star Wars,19.99,208.0,80.0,2.0,84.0
146,Rex's Rex-treme Offroader!,THE LEGO MOVIE 2,29.99,236.0,132.0,2.0,109.0
148,Imperial Patrol Battle Pack,Star Wars,14.99,99.0,36.0,3.0,43.0
149,The Panda Nursery,Minecraft,19.99,204.0,48.0,1.0,76.0
152,Good Morning Sparkle Babies!,THE LEGO MOVIE 2,9.99,50.0,32.0,4.0,44.0
153,Unstoppable Bike Chase,Minions,19.99,136.0,60.0,3.0,79.0
154,Ice-Cream Truck,City,19.99,200.0,100.0,2.0,112.0
155,Emma's Heart Box,Friends,7.99,85.0,32.0,1.0,38.0
156,Mulan's Training Day,Disney,14.99,104.0,36.0,1.0,62.0
